vignette_id,title_human,n_raters,va_score_human,fu_score_human,rd_score_human,ia_score_human,autonomy_index_human,ECI_human,SPI_human,va_score_sd_human,fu_score_sd_human,rd_score_sd_human,ia_score_sd_human,autonomy_index_sd_human,ECI_sd_human,SPI_sd_human,title_llm,n_llm,va_score_llm,fu_score_llm,rd_score_llm,ia_score_llm,autonomy_index_llm,ECI_llm,SPI_llm,va_score_sd_llm,fu_score_sd_llm,rd_score_sd_llm,ia_score_sd_llm,autonomy_index_sd_llm,ECI_sd_llm,SPI_sd_llm,delta_ai
57640e4d-1b00-4fea-a68e-56f14985568e,“ECMO? For How Long?” ECMO Extends Life and Poses Challenging Ethics Questions,3,14.58,0.0,5.56,2.78,5.73,61.33,10.0,25.26,0.0,9.62,4.81,9.92,45.94,3.0,“ECMO? For How Long?” ECMO Extends Life and Poses Challenging Ethics Questions,75,1.67,0.0,1.0,1.89,1.14,85.72,70.51,5.27,0.0,3.61,5.9,3.45,10.73,13.83,4.59
58172a5a-26ed-4f8e-bf29-3b0f4c20448a,Baby K,6,75.35,63.89,82.64,76.39,74.57,39.0,60.83,22.22,43.67,18.71,20.01,23.27,28.71,29.64,Baby K,80,85.31,92.4,80.83,73.33,82.97,76.38,34.81,6.82,9.49,10.48,10.88,8.15,5.84,17.09,-8.4
6c542cba-8e40-41c6-ab42-50a30f09bd0c,"It’s Too Much – First My Daughter, and Now This",2,54.17,43.75,66.67,41.67,51.56,84.5,12.5,5.89,8.84,11.79,11.79,6.63,6.36,10.61,"It’s Too Much – First My Daughter, and Now This",79,54.43,48.1,60.34,35.97,49.71,87.76,33.99,12.1,13.93,16.62,8.29,11.0,4.13,11.53,1.85
6e6da89b-ee8c-4867-af12-4c46ea7e2a34,Our Pregnant Daughter Didn’t Want This.,3,79.17,91.67,87.5,93.75,86.46,90.0,46.33,19.09,14.43,12.5,8.84,12.63,10.0,41.96,Our Pregnant Daughter Didn’t Want This.,26,69.23,16.67,65.71,71.47,55.77,87.31,65.0,20.38,34.96,26.6,19.17,18.97,6.2,17.09,30.69
7cf245e6-1373-4a64-baa5-593f44596f04,God Wants Me to Suffer. Hospital Care and Religious Beliefs,5,83.75,62.5,76.67,66.67,73.33,23.2,81.8,18.54,33.07,25.28,15.59,20.13,19.2,28.98,God Wants Me to Suffer. Hospital Care and Religious Beliefs,80,75.78,48.12,68.44,58.75,62.77,39.44,70.65,7.53,14.09,9.81,10.0,7.71,11.53,6.03,10.56
8a41b689-9c1f-450d-a56c-9517724f11b9,Disagreement Over Advance Directive,4,45.31,10.42,22.92,35.42,28.52,55.5,62.75,13.86,20.83,20.83,25.8,17.4,27.2,9.54,Disagreement Over Advance Directive,58,46.01,1.87,36.93,41.52,31.58,77.67,50.6,20.27,5.42,30.03,33.02,18.48,8.28,10.05,-3.07
8d8acf6f-e810-46dd-bac7-2f73afa5b2fa,Matter of Quinlan,3,40.97,33.33,27.78,25.0,31.77,95.0,21.67,44.01,57.74,34.69,33.07,41.97,7.81,33.29,Matter of Quinlan,49,25.64,0.0,23.64,19.22,17.12,84.78,50.24,11.92,0.0,25.14,22.96,13.8,10.17,14.76,14.65
975db1b2-4ef3-433f-abe3-a8ed34ff2b7b,Clinical Research Involving Children,2,0.0,0.0,0.0,0.0,0.0,64.67,75.67,0.0,,,,0.0,23.71,19.86,Clinical Research Involving Children,70,11.61,21.55,15.24,9.17,14.39,58.64,64.0,18.98,29.16,24.16,12.94,20.92,24.49,22.99,-14.39
a1cb23bc-eb8b-4121-8b56-65c78c1b8b23,Starting ECMO Husband Requests Intervention for Wife Without Her Consent,3,66.67,33.33,37.5,45.83,44.44,85.0,35.0,38.19,38.19,37.5,64.82,30.14,18.03,17.35,Starting ECMO Husband Requests Intervention for Wife Without Her Consent,37,37.5,1.8,23.2,29.5,23.0,80.7,45.81,18.34,5.94,19.56,21.75,13.74,10.33,11.21,21.44
a2745ee8-fa76-49b0-b988-848b82a17f75,Barney Says No,3,47.22,16.67,44.44,27.78,34.03,65.75,55.0,4.81,7.22,17.35,26.79,12.43,30.86,33.17,Barney Says No,71,21.04,14.44,20.89,22.53,19.73,71.96,53.31,19.63,13.58,18.63,18.76,16.75,22.1,19.57,14.3
a42867ea-b8a4-4730-90b7-8789e8d58a7e,Everything Be Done,6,54.86,20.0,44.44,48.61,43.92,70.0,44.83,30.98,27.39,26.18,39.94,30.59,35.07,18.23,Everything Be Done,49,38.9,9.52,27.89,32.14,27.12,70.76,51.02,12.05,12.38,11.97,13.92,10.23,15.1,12.95,16.81
a538b923-87af-41ba-8b2c-1777d86ff321,"Too Little, too Late... Almost",4,84.38,75.0,80.56,63.54,75.43,44.5,26.0,13.77,0.0,17.35,37.79,14.35,21.3,30.07,"Too Little, too Late... Almost",47,70.08,59.22,62.94,26.24,54.62,82.6,19.68,6.24,23.33,10.25,10.13,6.56,3.42,6.2,20.81
a73401b5-5c34-4518-9b2e-8266d2df7f1b,A Family Divided,5,20.0,28.33,32.29,20.0,23.96,68.0,46.4,22.71,31.51,22.66,19.18,22.69,21.64,29.41,A Family Divided,62,8.77,0.0,3.22,1.88,3.47,83.29,48.35,8.43,0.0,4.85,3.51,3.69,6.38,12.67,20.49
a951fc6b-38d2-4343-9092-c4089d9f05af,Alice’s Frail Mother,3,37.5,16.67,16.67,63.89,33.68,71.0,30.67,12.5,16.67,28.87,33.68,7.54,13.08,12.9,Alice’s Frail Mother,74,59.04,39.08,57.88,58.33,53.58,79.12,24.73,12.42,28.03,20.64,13.16,15.6,6.43,8.83,-19.9
aabec779-52ff-458d-b30d-59a0baf06f84,Maxine’s New Love and Decisional Capacity,6,58.33,61.11,63.54,54.17,57.12,74.5,43.0,10.94,12.73,10.42,27.0,7.91,14.6,30.91,Maxine’s New Love and Decisional Capacity,76,32.81,6.8,21.27,25.55,21.61,72.41,59.01,9.31,9.88,9.66,9.46,7.47,9.09,11.05,35.51
ab682458-9bac-4a18-98c3-c91465e6bf47,Angela C – Maternal Fetal Issues,2,87.5,87.5,70.83,72.92,79.69,97.0,43.0,17.68,17.68,5.89,14.73,3.68,4.24,60.81,Angela C – Maternal Fetal Issues,80,84.14,78.85,88.65,63.54,78.8,94.0,41.44,7.7,11.93,13.07,14.24,10.03,6.23,13.48,0.89
b0d3c100-9bd4-4149-a9f3-bd343337013a,Genetic Testing Ethics,4,53.12,100.0,62.5,78.12,69.66,69.0,45.75,30.94,,53.03,29.54,27.42,28.65,10.72,Genetic Testing Ethics,80,40.94,47.6,40.63,70.31,49.87,71.81,37.19,12.18,16.36,17.46,16.61,13.07,6.71,11.93,19.79
b5f7c8a8-a923-4bac-ad74-655e02424ac6,My Patient’s Dying,3,89.58,62.5,58.33,72.22,73.09,66.67,56.0,18.04,53.03,38.19,29.27,28.64,35.12,14.42,My Patient’s Dying,74,47.38,9.12,25.9,27.14,27.39,77.91,26.42,11.61,10.15,11.08,10.42,8.78,9.79,9.16,45.7
b8d6fee4-10b2-4c98-9245-368bcfe8efa5,Immigrant Caregiver Mother Fears Visit to Hospital,4,45.83,57.29,60.42,61.46,56.25,89.5,21.0,27.0,25.54,12.5,21.88,16.43,8.81,27.4,Immigrant Caregiver Mother Fears Visit to Hospital,75,69.5,79.89,67.0,55.67,68.02,81.33,32.33,14.16,10.79,14.78,9.99,10.06,5.35,9.98,-11.77
b98f3c40-0aa6-4cd0-88c5-a0022fa9f26e,What Should We Do? DNR for an Adult with Down Syndrome,3,12.5,0.0,0.0,11.11,5.9,97.33,3.67,21.65,0.0,0.0,19.25,5.14,4.62,6.35,What Should We Do? DNR for an Adult with Down Syndrome,73,6.59,4.11,4.57,6.16,5.36,88.56,60.0,11.59,9.33,10.67,14.5,11.24,7.09,19.26,0.54
be546d68-9484-4e4b-843d-7bb62d2498bd,Vaccination and Autism,4,40.62,50.0,12.5,50.0,42.45,30.5,25.75,37.33,,17.68,17.68,26.15,30.87,25.06,Vaccination and Autism,77,50.16,32.79,40.37,51.62,43.74,27.86,38.7,9.01,9.4,11.87,10.21,6.51,13.31,27.08,-1.29
be768d69-94fd-4b4e-a85c-2d3ebe53e2a2,Don’t Take My Foot! Surrogate Decision-Making,5,48.33,43.75,30.21,29.17,36.77,47.0,37.4,22.41,18.48,24.85,26.02,19.87,16.85,19.69,Don’t Take My Foot! Surrogate Decision-Making,79,58.86,43.78,46.63,50.11,49.84,48.04,66.08,7.33,9.1,11.52,5.74,6.58,15.39,10.64,-13.07
bef6dff7-d7b3-4632-80c6-4e01a82e3ee6,Tatiana Tarasoff: A Duty to Warn,1,56.25,16.67,25.0,50.0,36.98,72.0,74.0,,,,,,,,Tatiana Tarasoff: A Duty to Warn,79,10.92,13.5,4.01,14.34,10.69,60.7,50.0,7.18,8.78,5.31,10.42,6.07,19.46,13.89,26.29
c081d151-0003-4971-bae7-146a0f3ce80c,The Role of Literacy in Making Wishes Known,4,78.65,79.17,62.5,89.58,77.47,71.25,42.5,14.27,17.68,36.8,20.83,17.03,29.55,25.33,The Role of Literacy in Making Wishes Known,74,66.72,61.04,55.18,56.53,59.87,79.61,24.62,4.28,11.3,14.05,13.03,8.14,4.49,8.21,17.61
c0fba7f0-45e3-4c34-9d08-c2cfb1a3e0ee,Distributive Justice: A Challenge for Clinical Ethics,5,87.5,75.0,86.11,73.33,77.5,66.0,53.2,17.68,25.0,12.73,20.11,21.58,22.35,24.39,Distributive Justice: A Challenge for Clinical Ethics,57,27.19,43.86,30.56,30.99,33.15,89.04,22.02,15.87,23.23,16.16,9.8,14.56,5.55,9.4,44.35
c3b6daee-6f21-4aab-82a4-b56a4c8c33d0,Mr. Jay’s Case,3,68.75,77.78,87.5,75.0,73.44,88.0,37.0,39.03,25.46,17.68,22.05,28.27,5.29,14.73,Mr. Jay’s Case,60,69.9,82.92,85.14,64.3,75.56,81.25,41.33,12.1,11.52,12.47,14.4,10.87,6.93,9.47,-2.13
c9636ea4-23b7-4c49-bc63-d139e40f6e27,Scarce Resources,3,40.28,37.5,37.5,0.0,34.72,82.0,36.67,19.69,53.03,53.03,,32.36,17.09,15.28,Scarce Resources,61,32.58,14.75,19.13,9.29,18.94,83.69,43.77,14.07,11.73,13.64,5.51,9.35,5.47,12.03,15.78
dc498f1a-e06f-489b-802d-4c6318b613c7,Casey’s Last Inning,3,25.0,19.44,16.67,13.89,18.75,89.67,10.67,25.0,33.68,28.87,24.06,27.24,10.02,10.07,Casey’s Last Inning,62,1.92,0.0,0.0,1.21,0.78,87.73,30.97,4.47,0.0,0.0,2.96,1.85,13.74,13.21,17.97
df81d06d-6d9b-4f35-a646-50366ba8ccc3,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,4,75.0,83.33,83.33,79.17,77.34,34.25,77.5,35.36,14.43,28.87,26.02,24.92,45.89,21.32,Mrs. Bartolini’s Medical Team Weighs Allocation of Scarce Resources and Non-Beneficial Treatment,80,69.38,69.69,63.65,52.71,63.85,43.75,65.5,11.88,11.65,12.1,13.96,10.98,11.57,10.27,13.49
e1495ba6-b8a9-48e4-992f-93592bf4f0e5,Walking The Tightrope,5,58.75,41.67,39.58,38.54,42.26,69.6,37.2,24.45,23.57,15.77,10.42,13.02,23.39,15.01,Walking The Tightrope,80,43.12,25.73,38.96,44.38,38.05,75.5,29.06,6.41,10.95,10.34,9.81,6.48,6.78,8.5,4.21
eabfc9f4-1265-4aac-b180-cb29af70231b,Doctor-Patient Relationships: When Is It Ethically Acceptable to End Them?,3,56.94,88.89,76.39,97.22,79.86,36.67,75.33,21.38,12.73,10.49,4.81,2.41,37.86,23.03,Doctor-Patient Relationships: When Is It Ethically Acceptable to End Them?,80,85.94,79.48,83.54,78.23,81.8,22.5,72.56,9.62,10.6,7.38,8.33,6.8,14.25,10.06,-1.94
f0539682-d579-4b62-b5b8-428d060c8fae,The Law or Ethics: Which Should Take Priority?,4,27.08,0.0,12.5,6.25,11.46,90.0,7.75,35.6,0.0,25.0,12.5,17.8,14.14,9.67,The Law or Ethics: Which Should Take Priority?,54,1.27,0.0,0.0,0.0,0.32,91.7,43.33,2.82,0.0,0.0,0.0,0.7,6.86,20.23,11.14
f3d97825-2adf-479d-b44c-55c71e654010,Good Death or Assisted Suicide?,3,89.58,95.83,88.89,91.67,91.49,30.33,81.33,13.01,7.22,12.73,8.33,8.34,26.65,17.62,Good Death or Assisted Suicide?,80,80.16,91.35,92.61,81.35,86.37,35.44,61.06,7.82,9.04,6.08,8.41,5.78,14.8,12.65,5.13
f4769227-0ab3-437d-a5d3-9d4e20b43de8,Confidentiality in the Age of AIDS: A Case Study in Clinical Ethics,3,62.5,63.89,41.67,41.67,62.15,67.0,21.0,45.07,48.83,58.93,23.57,45.65,27.4,19.05,Confidentiality in the Age of AIDS: A Case Study in Clinical Ethics,80,13.52,12.6,6.87,14.27,11.82,66.94,46.69,8.35,8.89,6.6,10.29,6.16,17.64,11.39,50.34
f48914eb-bc3a-43aa-8fda-194eb400279e,A Multidisciplinary Healthcare Team Disagrees with Keeping the Patient Full Code,3,55.56,41.67,37.5,25.0,39.93,65.67,55.0,50.92,38.19,37.5,43.3,40.64,39.83,7.0,A Multidisciplinary Healthcare Team Disagrees with Keeping the Patient Full Code,65,37.02,24.1,39.36,42.44,35.73,72.28,54.69,28.35,21.3,23.08,24.15,22.47,13.16,15.15,4.2
