timestamp,vignette_id,title,model,run,status,VA1,VA2,VA3,VA4,FU1,FU2,FU3,RD1,RD2,RD3,IA1,IA2,IA3,ECI,SPI,va_score,fu_score,rd_score,ia_score,autonomy_index,interpretation
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,4,ok,1,2,1,0,1,0,0,2,1,2,2,1,1,75,20,25,8.33,41.67,33.33,27.08,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,5,ok,1,1,1,0,1,0,0,1,1,1,2,1,1,75,20,18.75,8.33,25,33.33,21.35,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,6,ok,2,2,2,1,1,1,1,2,2,2,3,1,2,75,30,43.75,25,50,50,42.19,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,7,ok,2,2,2,0,1,1,1,2,2,2,3,1,2,75,20,37.5,25,50,50,40.62,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,8,ok,1,1,1,0,1,0,0,1,1,1,1,0,0,85,20,18.75,8.33,25,8.33,15.1,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,9,ok,1,1,1,0,1,0,0,1,1,1,1,0,0,75,20,18.75,8.33,25,8.33,15.1,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,GPT-5.4,10,ok,2,2,2,0,1,1,1,2,2,2,3,1,2,70,20,37.5,25,50,50,40.62,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,1,ok,3,3,3,,,,,3,3,3,1,1,1,70,20,56.25,0,75,25,39.06,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,2,ok,2,2,2,0,0,0,0,1,1,1,0,0,0,75,40,37.5,0,25,0,15.62,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,3,ok,2,2,2,,,,,,,,1,0,0,70,40,37.5,0,0,8.33,11.46,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,4,ok,2,2,2,0,2,1,2,2,2,2,1,1,1,70,40,37.5,41.67,50,25,38.54,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,5,ok,2,3,2,0,2,1,1,2,2,2,1,0,0,70,40,43.75,33.33,50,8.33,33.85,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,6,ok,3,3,3,0,2,2,2,3,2,3,1,1,1,70,20,56.25,50,66.67,25,49.48,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,7,ok,2,2,2,0,2,1,2,2,2,2,1,1,1,70,40,37.5,41.67,50,25,38.54,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,8,ok,2,2,2,,2,1,2,2,2,2,1,1,1,75,40,37.5,41.67,50,25,38.54,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,9,ok,2,2,2,,,,,2,2,2,1,1,1,70,40,37.5,0,50,25,28.12,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Gemini 3 Flash Lite Preview,10,ok,2,3,2,,2,2,1,2,2,2,1,1,1,70,40,43.75,41.67,50,25,40.1,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,1,ok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,8.33,0,0,2.08,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,2,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,3,ok,0,0,0,1,2,0,2,0,0,1,1,2,3,0,50,6.25,33.33,8.33,50,24.48,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,4,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,5,ok,0,0,0,1,3,0,1,0,0,0,0,0,1,0,20,6.25,33.33,0,8.33,11.98,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,6,ok,0,0,0,0,3,0,1,0,0,0,1,1,2,0,30,0,33.33,0,33.33,16.67,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,7,ok,0,0,0,0,2,0,2,0,0,0,1,1,3,0,30,0,33.33,0,41.67,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,8,ok,0,0,0,0,3,0,2,0,0,0,1,0,0,0,40,0,41.67,0,8.33,12.5,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,9,ok,0,0,0,0,2,0,2,0,0,0,1,0,2,0,40,0,33.33,0,25,14.58,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Grok 4.1 Fast,10,ok,4,3,4,0,3,2,4,3,1,3,2,0,2,60,20,68.75,75,58.33,33.33,58.85,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,1,ok,1,0,0,0,0,0,0,0,0,0,1,0,0,90,10,6.25,0,0,8.33,3.65,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,2,ok,1,1,0,,,,,0,0,0,0,0,0,70,20,12.5,0,0,0,3.12,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,3,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,65,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,4,ok,0,0,0,,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,5,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,95,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,6,ok,1,1,1,,,,,2,2,1,2,0,0,90,30,18.75,0,41.67,16.67,19.27,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,7,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,8,ok,,,,,,,,,,,,,,,,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,9,ok,2,2,2,1,0,0,0,2,2,2,2,1,2,70,20,43.75,0,50,41.67,33.85,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,DeepSeek V3.2,10,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,1,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,2,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,3,ok,0,0,0,0,0,0,0,1,1,1,1,1,1,70,20,0,0,25,25,12.5,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,4,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,5,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,6,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,7,ok,1,1,1,0,0,0,0,1,1,1,0,0,0,80,20,18.75,0,25,0,10.94,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,8,ok,0,0,0,0,1,1,1,2,2,2,1,1,1,80,20,0,25,50,25,25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,9,ok,0,0,0,1,1,1,1,2,1,1,1,1,1,40,20,6.25,25,33.33,25,22.4,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 3.3 70B,10,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,1,ok,0,0,0,0,0,0,0,2,2,2,1,1,1,80,20,0,0,50,25,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,2,ok,1,1,1,1,0,0,0,2,1,2,1,0,0,80,20,25,0,41.67,8.33,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,3,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,4,ok,1,1,1,1,1,1,1,1,1,1,1,1,1,80,20,25,25,25,25,25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,5,ok,1,1,1,1,1,1,1,1,1,1,1,1,1,80,20,25,25,25,25,25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,6,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,7,ok,0,0,0,0,0,0,0,2,2,2,1,1,1,80,20,0,0,50,25,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,8,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,9,ok,0,0,0,0,0,0,0,2,2,2,1,1,1,80,20,0,0,50,25,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Llama 4 Scout,10,ok,1,1,1,1,1,1,1,1,1,1,1,0,0,80,20,25,25,25,8.33,20.83,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,1,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,2,ok,2,2,2,1,2,1,1,2,1,2,1,1,1,70,40,43.75,33.33,41.67,25,35.94,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,3,ok,,,,,,,,,,,,,,80,50,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,4,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,5,ok,,,,,,,,,,,,,,80,40,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,6,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,7,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,8,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,9,ok,,,,,,,,,,,,,,80,40,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Qwen 2.5 72B,10,ok,,,,,,,,,,,,,,70,40,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,1,ok,,,,,,,,2,3,2,,,,70,60,0,0,58.33,0,14.58,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,2,ok,,,,,,,,,,,,,,50,70,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,3,ok,,,,,,,,2,1,3,,,,50,70,0,0,50,0,12.5,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,4,ok,,,,,,,,,,,,,,50,70,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,5,ok,,,,,,,,,,,,,,50,70,0,0,0,0,0,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,6,ok,,,,,,,,2,2,3,,,,50,70,0,0,58.33,0,14.58,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,7,ok,,,,,,,,3,3,3,,,,50,70,0,0,75,0,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,8,ok,,,,,,,,3,3,3,,,,50,70,0,0,75,0,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,9,ok,,,,,,,,3,3,3,,,,50,70,0,0,75,0,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,02a0c7aa-063c-49cc-88ef-af09d7dfcb62,Case Study: One Small Cut that Killed,Mixtral 8x7B,10,ok,,,,,,,,3,3,3,,,,50,70,0,0,75,0,18.75,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,1,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,25,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,2,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,25,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,3,ok,1,2,0,1,0,0,0,0,0,1,0,0,0,85,25,25,0,8.33,0,8.33,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,4,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,25,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,5,ok,1,1,0,1,0,0,0,0,0,0,0,0,0,85,20,18.75,0,0,0,4.69,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,6,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,20,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,7,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,20,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,8,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,25,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,9,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,20,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,Claude Sonnet 4.6,10,ok,1,2,0,1,0,0,0,0,0,0,0,0,0,85,25,25,0,0,0,6.25,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,GPT-5.4,1,ok,1,2,0,0,0,0,0,0,0,1,0,0,0,90,35,18.75,0,8.33,0,6.77,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,GPT-5.4,2,ok,1,2,0,0,0,0,0,0,0,1,0,0,0,90,25,18.75,0,8.33,0,6.77,Autonomy not fully demonstrated; reassessment recommended
20260307_121342,07b7bad7-6f91-43ea-b356-bcf63ff7de49,Case Study – The Isolated Long-Term-Care Patient and Scarce Resource Allocation,GPT-5.4,3,ok,1,2,0,1,0,0,0,0,0,1,0,0,0,90,35,25,0,8.33,0,8.33,Autonomy not fully demonstrated; reassessment recommended
